Sr.,Name,Email,mobile,"Phone Number",Status,Designation,Address,City,State,Country,Pincode,GST,"Company Name",Website,"Business Jewellery","Business Machinery","Business Other","Product Jewellery","Product Machinery","Objective of Visiting Sparkle International 2016 ","How did you first know about Sparkle International 2016",Status,"Add Date"
12,"Komal Patel",k@gmail.com,"+91 5675878",67845,Active,"PHP Developer",,Ahmedabad,Gujarat,India,54875,,,,,,,,,,,Active,"20 Jun 2018"
13,"Hemal Patel",amit2410@bsp.com,"+91 75454857",448787,Active,"PHP Developer",,Ahmedabad,Gujarat,India,3242,,,,,,,,,,,Active,"20 Jun 2018"
14,"Gajanad Patel",G@gmail.com,"+91 455465",,Active,"PHP Developer",,Ahmedabad,Gujarat,India,5534545,,,,,,,,,,,Active,"20 Jun 2018"
15,"Gajanad Patel",amit2410@bsp.com,+91453,448787,Active,SEO,,Ahmedabad,Gujarat,India,424324,,,,,,,,,,,Active,"20 Jun 2018"
16,"Gajanad Patel",v@gmail.com,+91,448787,Active,"PHP Developer",,Hyderabad,Telangana,India,424323,,,,,,,,,,,Active,"20 Jun 2018"
17,"Vidhi Patel",v@gmail.com,+91545454,448787,Active,"PHP Developer",,Ahmedabad,Gujarat,India,452556,,,,,,,,,,,Active,"20 Jun 2018"
18,"Vidhi S",v@gmail.com,+91,,Active,"PHP Developer",,Ahmedabad,Gujarat,India,5452545,22AAAAA0000A1Z5,BSP,digitalsamaj.com,"Retailers, Manufacturers, ","Manufacturers, Exporters, ","Manufacturers, Ancillary Supplier","Loose Diamonds, Silver Jewellery, ","Jewellery Making Machinery, ","Market Information, ","Website, ",Active,"20 Jun 2018"
19,"Gajanad Patel",G@gmail.com,+91,435435435,Active,"PHP Developer",,Ahmedabad,Gujarat,India,3534,22AAAAA0000A1Z5,BSP,digitalsamaj.com,"Wholesalers, ","Exporters, ",Manufacturers,"Software, ","Equipment / Tools, ","Market Information, ","Trade Fairs, ",Active,"20 Jun 2018"
20,"Gajanad Patel",amit2410@bsp.com,+91,,Active,"PHP Developer",,Ahmedabad,Gujarat,India,242342,22AAAAA0000A1Z5,BSP,digitalsamaj.com,"Wholesalers, Designers, ","Exporters, ","Ancillary Supplier","Publication, ","Equipment / Tools, ","Market Information, ","Trade Fairs, ",Active,"20 Jun 2018"
21,"Gajanad Patel",v@gmail.com,+912334,448787,Active,"PHP Developer",,Ahmedabad,Gujarat,India,324342,22AAAAA0000A1Z5,BSP,digitalsamaj.com,"Manufacturers, ","Wholesalers, Agents, Foreign representative, ",Manufacturers,"Publication, ","Equipment / Tools, ","Market Information, ","Website, ",Active,"20 Jun 2018"
22,"Gajanad Patel",v@gmail.com,+91554,,Active,"PHP Developer",,Ahmedabad,Gujarat,India,5435435,,,,,,,,,,,Active,"20 Jun 2018"
23,"Gajanad Patel",v@gmail.com,+91,,Active,"PHP Developer",,Ahmedabad,Gujarat,India,57675,,,,,,,,,,,Active,"20 Jun 2018"
24,"Gajanad Patel",G@gmail.com,+91,,Active,"PHP Developer",,Ahmedabad,Gujarat,India,384160,22AAAAA0000A1Z5,BSP,digitalsamaj.com,"Wholesalers, Designers, Exporters, ","Manufacturers, ","Ancillary Supplier","Loose Diamonds, ","Equipment / Tools, ","Evaluate for future participation, ","Trade Fairs, ",Active,"20 Jun 2018"
25,"erwe rew",v@gmail.com,+9134543,,Active,php,,Ahmedabad,Gujarat,India,243,,,,,,,,,,,Active,"21 Jun 2018"
26,"fgh gh",v@gmail.com,"+91 4535453",,Active,ghjg,,Ahmedabad,Gujarat,India,435,,,,,,,,,,,Active,"21 Jun 2018"
27,"er df",g@f.com,+91,4236546,Active,dffffg,,Macon,Georgia,"United States",4564,,,,,,,,,,,Active,"21 Jun 2018"
28,"ty yt",v@ty.com,+91,54353455,Active,dfs,,Ahmedabad,Gujarat,India,34535,,,,,,,,,,,Active,"21 Jun 2018"
29,"fs ds",ds@gmail.com,+91,,Active,rew,,Ahmedabad,Gujarat,India,3545,22AAAAA0000A1Z5,ret,sldj.com,"Importers, ","Manufacturers, ",Manufacturers,"Studded Gold, ","Equipment / Tools, ","Market Information, ","Trade Fairs, ",Active,"21 Jun 2018"
30,"vidhi re",v@gmail.com,+91154,145435,Active,adfsfs,,Ahmedabad,Gujarat,India,4535,,,,,,,,,,,Active,"21 Jun 2018"
31,"ry tr",d@gmail.com,+91,,Active,er,,Ahmedabad,Gujarat,India,453435,,,,,,,,,,,Active,"21 Jun 2018"
32,"Akshay Patel",g@gmail.com,"+91 5656787",,Active,Php,,Ahmedabad,Gujarat,India,78755,22AAAAA0000A1Z5,Bsp,digitalsamaj.com,"Designers, ","Exporters, ",Retailers,"Publication, ","Equipment / Tools, ","Source Supplying, ","Website, ",Active,"22 Jun 2018"
33,"Akshay patel",vs@gmail.com,+91354641,,Active,PHP,,Ahmedabad,Gujarat,India,354354,,,,,,,,,,,Active,"22 Jun 2018"
